city;area;population
Fröndenberg/Ruhr, Stadt;56.21;20698
Coswig, Stadt;25.85;20630
Geseke, Stadt;97.88;20588
Eschborn, Stadt;12.13;20486
Wittmund, Stadt;210.12;20414
Kitzingen, GKSt;47;20405
Herborn, Stadt;63.8;20392
Aichach, St;92.87;20354
Burgwedel, Stadt;151.96;20333
Neustrelitz, Stadt;138.14;20322
Enger, Widukindstadt;41.24;20285
Seligenstadt, Stadt;30.85;20254
Schortens, Stadt;68.68;20234
Bruchköbel, Stadt;29.69;20214
Puchheim, St;12.23;20201
Dillingen/ Saar, Stadt;22.07;20199
Traunreut, St;45.06;20172
Luckenwalde, Stadt;46.46;20154
Bad Rappenau, Stadt;73.55;20142
Holzminden, Stadt;88.24;20131
Marsberg, Stadt;182.22;20110
Lichtenfels, St;122.28;20080
Oschersleben (Bode), Stadt;188.91;20079
Stadtlohn, Stadt;79.25;20069
Germersheim, Stadt;21.72;20019
Quickborn, Stadt;43.17;19986
Waghäusel, Stadt;42.84;19981
Flörsheim am Main, Stadt;22.95;19976
Laupheim, Stadt;61.78;19951
Nidderau, Stadt;46.73;19949
Kaltenkirchen, Stadt;23.1;19904
Rheinstetten, Stadt;32.29;19824
Eislingen/Fils, Stadt;16.41;19760
Oberkirch, Stadt;69.13;19689
Zülpich, Stadt;101.03;19689
Crimmitschau, Stadt;61.04;19622
Hörstel, Stadt;107.54;19610
Seesen, Stadt;102.19;19564
Ennigerloh, Stadt;125.56;19558
Bad Waldsee, Stadt;108.54;19542
Günzburg, GKSt;55.41;19534
Bad Schwartau, Stadt;18.39;19522
Haiger, Stadt;106.67;19495
Bad Berleburg, Stadt;275.52;19472
Schmalkalden, Kurort, Stadt;98.35;19463
Lebach, Stadt;64.15;19456
Sulzbach-Rosenberg, St;53.12;19425
Borna, Stadt;62.36;19424
Mössingen, Stadt;50.05;19414
Eschwege, Kreisstadt;63.27;19393
Forst (Lausitz), Stadt;109.92;19312
Auerbach/Vogtl., Stadt;55.38;19300
Nördlingen, GKSt;68.1;19268
Sömmerda, Stadt;80.72;19215
Alfeld (Leine), Stadt;72.86;19138
Reichenbach im Vogtland, Stadt;29.73;19087
