log10.xvals,log10.ccdf,
627,1.7972675408,-Inf
628,1.7979596437,-Inf
629,1.7986506454,-Inf
630,1.7993405495,-Inf
631,1.8000293592,-Inf
632,1.8007170783,-Inf
633,1.80140371,-Inf
634,1.8020892579,-Inf
635,1.8027737253,-Inf
636,1.8034571156,-Inf
637,1.8041394323,-Inf
638,1.8048206787,-Inf
639,1.8055008582,-Inf
640,1.806179974,-Inf
641,1.8068580295,-Inf
642,1.8075350281,-Inf
643,1.8082109729,-Inf
644,1.8088858674,-Inf
645,1.8095597146,-Inf
646,1.810232518,-Inf
647,1.8109042807,-Inf
648,1.8115750059,-Inf
649,1.8122446968,-Inf
650,1.8129133566,-Inf
651,1.8135809886,-Inf
652,1.8142475957,-Inf
653,1.8149131813,-Inf
654,1.8155777483,-Inf
655,1.8162413,-Inf
656,1.8169038394,-Inf
657,1.8175653696,-Inf
658,1.8182258936,-Inf
659,1.8188854146,-Inf
660,1.8195439355,-Inf
661,1.8202014595,-Inf
662,1.8208579894,-Inf
663,1.8215135284,-Inf
664,1.8221680794,-Inf
665,1.8228216453,-Inf
666,1.8234742292,-Inf
667,1.8241258339,-Inf
668,1.8247764625,-Inf
669,1.8254261178,-Inf
670,1.8260748027,-Inf
671,1.8267225202,-Inf
672,1.8273692731,-Inf
673,1.8280150642,-Inf
674,1.8286598965,-Inf
675,1.8293037728,-Inf
676,1.8299466959,-Inf
677,1.8305886687,-Inf
678,1.8312296939,-Inf
679,1.8318697743,-Inf
680,1.8325089127,-Inf
681,1.8331471119,-Inf
682,1.8337843747,-Inf
683,1.8344207037,-Inf
684,1.8350561017,-Inf
685,1.8356905715,-Inf
686,1.8363241157,-Inf
687,1.8369567371,-Inf
688,1.8375884382,-Inf
689,1.8382192219,-Inf
690,1.8388490907,-Inf
691,1.8394780474,-Inf
692,1.8401060945,-Inf
693,1.8407332346,-Inf
694,1.8413594705,-Inf
695,1.8419848046,-Inf
696,1.8426092396,-Inf
697,1.8432327781,-Inf
698,1.8438554226,-Inf
699,1.8444771757,-Inf
700,1.84509804,-Inf
701,1.845718018,-Inf
702,1.8463371121,-Inf
703,1.846955325,-Inf
704,1.8475726591,-Inf
705,1.848189117,-Inf
706,1.8488047011,-Inf
707,1.8494194138,-Inf
708,1.8500332577,-Inf
709,1.8506462352,-Inf
710,1.8512583487,-Inf
711,1.8518696007,-Inf
712,1.8524799936,-Inf
713,1.8530895299,-Inf
714,1.8536982118,-Inf
715,1.8543060418,-Inf
716,1.8549130223,-Inf
717,1.8555191557,-Inf
718,1.8561244442,-Inf
719,1.8567288904,-Inf
720,1.8573324964,-Inf
721,1.8579352647,-Inf
722,1.8585371976,-Inf
723,1.8591382973,-Inf
724,1.8597385662,-Inf
725,1.8603380066,-Inf
